Available_date,Floor,Kitchen_type,Bedrooms,Dressing_room,Bathrooms,Toilets,Office,Professional_space,Small_pet-friendly,Armored_door,Primary_energy_consumption,Energy_class,Reference_number_of_the_EPC_report,CO_emission,Heating_type,Heat_pump,Photovoltaic_solar_panels,Thermic_solar_panels,Common_water_heater,Double_glazing,Type_of_building,Monthly_rental_price,Monthly_costs,Tenement_building,price,space,address,listing_type,Number_of_floors,Number_of_frontages,Outdoor_parking_spaces,Living_area,Living_room_surface,Bedroom_1_surface,Bedroom_2_surface,Furnished,Terrace_surface,Intercom,Visio_phone,Address,Website,External_reference,agency,Construction_year,Building_condition,Terrace_orientation,Caretaker,Elevator,Accessible_for_disabled_people,Secure_access_alarm,Air_conditioning,TV_cable,Swimming_pool,Internet,Available_as_of,Street_frontage_width,Terrace,Shower_rooms,Surroundings_type
NA,NA,NA,NA,No,NA,NA,No,NA,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,NA,"€ 850
850 €","€ 75
75€",No,"€850 (+ €75)
850€ + 75€ per month","20 m²
square meters",1000 — Bruxelles,Apartment for rent,NA,2,NA,"20 m²
square meters",NA,NA,NA,No,NA,No,Yes,"Avenue des Genêts 16
1640 - Rhode-Saint-Genèse",NA,8095277,Belgoimmo SPRL,NA,Just renovated,NA,No,No,No,No,NA,No,No,NA,After signing the deed,NA,NA,1,NA
January 27 2023 - 12:00 AM,3,Hyper equipped,2,NA,1,1,NA,NA,NA,Yes,"165 kWh/m²
kilowatt hour per square meters",D,Not specified,30 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,300
1300 €","€ 200
200€",No,"€1,300 (+ €200)
1300€ + 200€ per month","2 bedrooms | 100 m²
square meters",1200 — Woluwe-Saint-Lambert,Apartment for rent,4,2,1,"100 m²
square meters","35 m²
square meters","16 m²
square meters","14 m²
square meters",No,"4 m²
square meters",Yes,Yes,"Avenue de la chasse 159
1040 - Etterbeek",http://www.myimmo.be,5232006,MYIMMO Etterbeek,1966,Just renovated,NA,NA,Yes,No,NA,NA,Yes,No,NA,Immediately,NA,NA,1,Isolated
NA,1,USA hyper equipped,2,No,1,1,No,No,No,Yes,"136 kWh/m²
kilowatt hour per square meters",C,Not specified,29 kg CO₂/m²,Gas,No,No,No,Yes,No,Apartment building,"€ 1,780
1780 €","€ 250
250€",No,"€1,780 (+ €250)
1780€ + 250€ per month",2 bedrooms,1000 — Bruxelles,Apartment for rent,NA,2,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,NA,NA,NA,2005,As new,NA,Yes,Yes,No,Yes,No,Yes,Yes,Yes,NA,7 m,NA,2,Landscape
April 15 2023 - 12:00 AM,3,Installed,2,NA,2,2,NA,NA,NA,NA,"124 kWh/m²
kilowatt hour per square meters",C,Not specified,26 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,620
1620 €","€ 80
80€",No,"€1,620 (+ €80)
1620€ + 80€ per month","2 bedrooms | 95 m²
square meters",Ask for the exact address,Duplex for rent,4,2,NA,"95 m²
square meters","22 m²
square meters","17 m²
square meters","12 m²
square meters",No,"3 m²
square meters",NA,Yes,"Avenue Broqueville 1
1150 - Woluwe-Saint-Pierre",http://www.macnash.com,267907 - 4275782,Macnash Montgomery,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,NA,Depending on the tenant,NA,NA,2,NA
March 1 2023 - 12:00 AM,3,NA,2,NA,1,1,Yes,NA,NA,NA,"184 kWh/m²
kilowatt hour per square meters",D,Not specified,20 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,390
1390 €",NA,No,"€1,390/month
1390€ per month","2 bedrooms | 120 m²
square meters",Ask for the exact address,Apartment for rent,5,2,NA,"120 m²
square meters",NA,NA,NA,No,NA,NA,NA,"Rue de la Brasserie 95
1050 - Ixelles",NA,62640 - 897/1409,Rosace Immobilier,2010,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,To be defined,NA,Yes,NA,NA
NA,NA,USA hyper equipped,2,NA,1,2,Yes,NA,NA,NA,Not specified,Not specified,Not specified,Not specified,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,650
1650 €","€ 50
50€",No,"€1,650 (+ €50)
1650€ + 50€ per month",2 bedrooms,Ask for the exact address,Duplex for rent,2,2,NA,NA,"42 m²
square meters","14 m²
square meters","18 m²
square meters",No,"22 m²
square meters",NA,Yes,"Boulevard Général Jacques
1050 - Ixelles",http://www.greagre.be,5229069,Gré à Gré Immobilier,NA,As new,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Immediately,NA,NA,NA,NA
April 1 2023 - 12:00 AM,3,Installed,2,NA,1,1,NA,NA,NA,NA,"158 kWh/m²
kilowatt hour per square meters",D,201602200000326986018,33 kg CO₂/m²,Gas,NA,NA,NA,NA,NA,NA,"€ 1,050
1050 €","€ 180
180€",No,"€1,050 (+ €180)
1050€ + 180€ per month","2 bedrooms | 66 m²
square meters",1170 — Watermael-Boitsfort,Apartment for rent,13,2,NA,"66 m²
square meters","26 m²
square meters",NA,NA,No,"19 m²
square meters",NA,NA,"Av G.Dossin de st Georges 5 bte 6
1050 - Ixelles",http://www.contigo.immo,8803 - 1436,Contigo Ixelles,1975,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,To be defined,15 m,NA,NA,NA
March 1 2023 - 12:00 AM,NA,USA installed,2,NA,1,1,NA,NA,NA,NA,"180 kWh/m²
kilowatt hour per square meters",D,Not specified,35 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,590
1590 €",NA,No,"€1,590/month
1590€ per month","2 bedrooms | 82 m²
square meters",1000 — BRUXELLES,Apartment for rent,1,2,NA,"82 m²
square meters",NA,"14 m²
square meters",NA,Yes,"25 m²
square meters",NA,Yes,"Rue de Tenbosch 85/117
1050 - Ixelles",NA,2350 - 2335,Upgrade Immo,NA,As new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Urban
March 1 2023 - 12:00 AM,NA,USA installed,2,NA,1,1,NA,NA,NA,NA,"180 kWh/m²
kilowatt hour per square meters",D,Not specified,35 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,590
1590 €",NA,No,"€1,590/month
1590€ per month","2 bedrooms | 82 m²
square meters",1050 — Ixelles,House for rent,NA,2,NA,"82 m²
square meters",NA,"14 m²
square meters",NA,Yes,"25 m²
square meters",NA,Yes,"Rue de Tenbosch 85/117
1050 - Ixelles",NA,2349 - 2335,Upgrade Immo,1960,As new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Urban
February 1 2023 - 12:00 AM,3,Installed,1,NA,1,1,NA,NA,NA,Yes,"127 kWh/m²
kilowatt hour per square meters",C,Not specified,26 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,050
1050 €","€ 120
120€",No,"€1,050 (+ €120)
1050€ + 120€ per month","1 bedroom | 57 m²
square meters",1000 — Bruxelles,Apartment for rent,4,2,NA,"57 m²
square meters","25 m²
square meters","14 m²
square meters",NA,No,NA,NA,NA,"Rue de Tenbosch 85/117
1050 - Ixelles",NA,2348 - 2296,Upgrade Immo,1914,As new,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shop street
NA,4,USA installed,2,NA,1,1,NA,NA,NA,NA,"168 kWh/m²
kilowatt hour per square meters",D,Not specified,34 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,350
1350 €","€ 100
100€",No,"€1,350 (+ €100)
1350€ + 100€ per month","2 bedrooms | 100 m²
square meters",1190 — Forest,Apartment for rent,4,2,NA,"100 m²
square meters","32 m²
square meters","18 m²
square meters","12 m²
square meters",No,"49 m²
square meters",NA,NA,"Rue de Tenbosch 85/117
1050 - Ixelles",NA,2324 - 2220,Upgrade Immo,2019,As new,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,Immediately,NA,NA,NA,Living area (residential, urban or rural)
NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,"130 kWh/m²
kilowatt hour per square meters",C,Not specified,28 kg CO₂/m²,NA,NA,NA,NA,NA,NA,NA,"€ 1,290
1290 €",NA,No,"€1,290/month
1290€ per month","2 bedrooms | 110 m²
square meters",Ask for the exact address,Apartment for rent,5,NA,1,"110 m²
square meters","45 m²
square meters",NA,NA,No,NA,NA,NA,"Rue de Laeken 91
1000 - Bruxelles",NA,45553 - 798/16341,Espace Immo Brussels CENTRE,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
February 1 2023 - 12:00 AM,3,USA hyper equipped,3,NA,NA,1,NA,NA,NA,NA,Not specified,Not specified,Not specified,Not specified,Gas,NA,NA,NA,NA,NA,NA,"€ 1,350
1350 €","€ 25
25€",No,"€1,350 (+ €25)
1350€ + 25€ per month","3 bedrooms | 95 m²
square meters",Ask for the exact address,Apartment for rent,5,2,NA,"95 m²
square meters","40 m²
square meters","17 m²
square meters","10 m²
square meters",No,NA,NA,NA,"Rue de Laeken 91
1000 - Bruxelles",NA,45552 - 187,Espace Immo Brussels CENTRE,1846,As new,NA,NA,NA,NA,NA,NA,NA,NA,NA,To be defined,5 m,NA,1,NA
February 1 2023 - 12:00 AM,2,Hyper equipped,2,NA,1,1,NA,NA,NA,NA,"72 kWh/m²
kilowatt hour per square meters",B,554715-N1.10.3.2,19 kg CO₂/m²,NA,NA,NA,NA,NA,Yes,NA,"€ 1,500
1500 €","€ 160
160€",No,"€1,500 (+ €160)
1500€ + 160€ per month","2 bedrooms | 115 m²
square meters",Ask for the exact address,Apartment for rent,4,4,NA,"115 m²
square meters","47 m²
square meters","14 m²
square meters","12 m²
square meters",No,"22 m²
square meters",NA,Yes,"Rue de Laeken 91
1000 - Bruxelles",NA,45546 - 151,Espace Immo Brussels CENTRE,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,To be defined,NA,NA,NA,NA
NA,NA,Hyper equipped,1,NA,NA,1,NA,NA,NA,Yes,"246 kWh/m²
kilowatt hour per square meters",E,Not specified,59 kg CO₂/m²,Fuel oil,No,No,No,NA,Yes,NA,"€ 900
900 €","€ 100
100€",No,"€900 (+ €100)
900€ + 100€ per month","1 bedroom | 75 m²
square meters",Ask for the exact address,Ground floor for rent,4,2,NA,"75 m²
square meters","24 m²
square meters","15 m²
square meters",NA,No,"35 m²
square meters",NA,NA,"rue de Stalle 142
1180 - Uccle",http://www.couet.be,23L3192,COUET & ASSOCIES,1960,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Immediately,NA,NA,1,NA
NA,1,USA hyper equipped,1,No,NA,1,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,Yes,Yes,All kind,"€ 750
750 €",NA,No,"€750/month
750€ per month","1 bedroom | 40 m²
square meters",1050 — Ixelles,Duplex for rent,1,2,NA,"40 m²
square meters",NA,NA,NA,Yes,"1 m²
square meter",Yes,No,NA,NA,NA,NA,NA,Just renovated,NA,No,No,No,No,No,No,No,Yes,Immediately,7 m,NA,1,NA
March 1 2023 - 12:00 AM,3,Installed,1,No,1,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,No,All kind,"€ 1,300
1300 €",NA,No,"€1,300/month
1300€ per month",1 bedroom,Ask for the exact address,Apartment for rent,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 m,Yes,NA,NA
April 1 2023 - 12:00 AM,4,Installed,NA,No,1,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,Yes,Yes,Apartment building,"€ 750
750 €",NA,No,"€750/month
750€ per month",,1050 — Ixelles,Studio for rent,NA,1,NA,NA,NA,NA,NA,NA,"4 m²
square meters",Yes,Yes,NA,NA,NA,NA,2017,As new,North,No,Yes,Yes,No,No,Yes,No,Yes,NA,NA,NA,1,Fitted out
December 1 2022 - 12:00 AM,10,Hyper equipped,3,NA,1,3,NA,NA,NA,NA,Not specified,Not specified,C 20140402-0000220720-01-6,42 kg CO₂/m²,Gas,No,No,No,NA,No,NA,"€ 4,420
4420 €","€ 510
510€",No,"€4,420 (+ €510)
4420€ + 510€ per month","3 bedrooms | 180 m²
square meters",Ask for the exact address,Penthouse for rent,10,3,NA,"180 m²
square meters",NA,NA,NA,Yes,"200 m²
square meters",NA,NA,"Chausse de St. Job, 546
1180 - Bruxelles",http://www.go-investuccle.be,4003280HSC,GO INVEST Uccle,1970,NA,South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
February 15 2023 - 12:00 AM,1,Hyper equipped,1,No,NA,1,NA,NA,NA,NA,"74 kWh/m²
kilowatt hour per square meters",B,588012-N-2-67-4-3,Not specified,Gas,No,NA,NA,NA,Yes,NA,"€ 950
950 €",NA,No,"€950/month
950€ per month","1 bedroom | 56 m²
square meters",1000 — Bruxelles,Apartment for rent,NA,NA,NA,"56 m²
square meters",NA,NA,NA,Yes,NA,NA,NA,"Kalenbergstraat 28
1700 - Dilbeek",http://www.chvc.be,NA,CHVC,NA,As new,NA,No,Yes,NA,No,NA,NA,No,NA,NA,NA,Yes,NA,NA
May 1 2023 - 12:00 AM,NA,USA hyper equipped,1,NA,1,1,NA,NA,NA,Yes,"123 kWh/m²
kilowatt hour per square meters",C,Not specified,23 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 975
975 €","€ 110
110€",No,"€975 (+ €110)
975€ + 110€ per month","1 bedroom | 44 m²
square meters",1070 — Anderlecht,Apartment for rent,1,2,1,"44 m²
square meters","23 m²
square meters","8 m²
square meters",NA,Yes,"15 m²
square meters",Yes,Yes,"1 Avenue Henri Bourgys
1410 - Waterloo",http://www.newdeal.immo,5232033,New Deal Properties,2020,As new,NA,NA,Yes,Yes,NA,NA,Yes,No,NA,Depending on the tenant,NA,NA,1,Isolated
NA,4,NA,2,No,1,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,No,Apartment building,"€ 900
900 €",NA,No,"€900/month
900€ per month",2 bedrooms,1050 — Ixelles,Apartment for rent,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,NA,Immediately,NA,NA,1,Urban
NA,2,USA uninstalled,2,No,NA,NA,No,NA,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,NA,"€ 1,650
1650 €","€ 55
55€",No,"€1,650 (+ €55)
1650€ + 55€ per month","2 bedrooms | 85 m²
square meters",1000 — Bruxelles,Apartment for rent,3,2,NA,"85 m²
square meters","40 m²
square meters","11 m²
square meters","11 m²
square meters",No,NA,No,Yes,"Avenue des Genêts 16
1640 - Rhode-Saint-Genèse",NA,8095060,Belgoimmo SPRL,NA,Just renovated,NA,No,No,No,No,NA,No,No,NA,After signing the deed,NA,NA,1,NA
NA,3,NA,3,No,NA,1,No,NA,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,NA,"€ 1,950
1950 €","€ 75
75€",No,"€1,950 (+ €75)
1950€ + 75€ per month","3 bedrooms | 120 m²
square meters",1000 — Bruxelles,Penthouse for rent,3,2,NA,"120 m²
square meters",NA,"15 m²
square meters","11 m²
square meters",No,"10 m²
square meters",No,Yes,"Avenue des Genêts 16
1640 - Rhode-Saint-Genèse",NA,8094673,Belgoimmo SPRL,NA,Just renovated,NA,No,No,No,No,NA,No,No,NA,After signing the deed,NA,NA,2,NA
NA,3,Installed,2,Yes,1,2,No,NA,No,Yes,"94 kWh/m²
kilowatt hour per square meters",B,201206010000089834010,20 kg CO₂/m²,Gas,No,No,No,Yes,Yes,NA,"€ 1,300
1300 €","€ 280
280€",No,"€1,300 (+ €280)
1300€ + 280€ per month","2 bedrooms | 100 m²
square meters",Ask for the exact address,Apartment for rent,NA,4,NA,"100 m²
square meters","27 m²
square meters","18 m²
square meters","14 m²
square meters",No,"16 m²
square meters",No,Yes,"Avenue Louise 404a
1050 - Ixelles",http://www.barnes-brussels.com,8093367,BARNES BRUSSELS,NA,As new,NA,Yes,Yes,Yes,Yes,NA,Yes,No,NA,After signing the deed,NA,NA,1,NA
NA,7,Hyper equipped,3,NA,2,3,NA,NA,NA,NA,"93 kWh/m²
kilowatt hour per square meters",B,B - Provisoire nouvelle construction,25 kg CO₂/m²,Gas,NA,NA,NA,Yes,Yes,NA,"€ 2,500
2500 €","€ 150
150€",No,"€2,500 (+ €150)
2500€ + 150€ per month","3 bedrooms | 145 m²
square meters",1180 — Uccle,Apartment for rent,9,NA,NA,"145 m²
square meters","45 m²
square meters",NA,NA,No,"26 m²
square meters",Yes,Yes,"Av. W. Churchill, 246 bte7
1180 - Uccle",NA,NA,Sodefi,NA,As new,NA,NA,Yes,Yes,Yes,NA,Yes,NA,NA,Immediately,NA,NA,NA,Living area (residential, urban or rural)
NA,NA,Installed,2,NA,1,1,NA,NA,NA,Yes,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,NA,Yes,NA,"€ 1,350
1350 €","€ 80
80€",No,"€1,350 (+ €80)
1350€ + 80€ per month","2 bedrooms | 80 m²
square meters",1180 — Uccle,Ground floor for rent,2,3,NA,"80 m²
square meters","35 m²
square meters","15 m²
square meters","10 m²
square meters",No,"16 m²
square meters",NA,NA,"Rue Washington 206A
1050 - Ixelles",http://www.agencewashington.be,2289,Agence Washington,2021,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,Installed,2,NA,1,1,NA,NA,NA,Yes,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,NA,Yes,NA,"€ 1,250
1250 €","€ 400
400€",No,"€1,250 (+ €400)
1250€ + 400€ per month","2 bedrooms | 125 m²
square meters",1180 — Uccle,Apartment for rent,3,2,1,"125 m²
square meters","40 m²
square meters","16 m²
square meters","10 m²
square meters",No,"28 m²
square meters",NA,NA,"Rue Washington 206A
1050 - Ixelles",http://www.agencewashington.be,2288,Agence Washington,1966,NA,South West,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,USA hyper equipped,1,No,NA,1,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,Apartment building,"€ 900
900 €",NA,No,"€900/month
900€ per month","1 bedroom | 50 m²
square meters",1200 — Woluwe-Saint-Lambert,Apartment for rent,3,2,NA,"50 m²
square meters",NA,"8 m²
square meters",NA,NA,"3 m²
square meters",No,Yes,NA,NA,NA,NA,1970,Just renovated,North West,No,No,No,No,No,Yes,No,Yes,Immediately,18 m,NA,1,Landscape
NA,2,Installed,1,No,NA,1,Yes,Yes,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,Yes,No,All kind,"€ 750
750 €","€ 200
200€",No,"€750 (+ €200)
750€ + 200€ per month",1 bedroom,Ask for the exact address,Apartment for rent,2,2,NA,NA,"20 m²
square meters","68 m²
square meters",NA,Yes,NA,No,No,NA,NA,NA,NA,1946,Good,NA,Yes,No,No,Yes,No,Yes,No,Yes,Immediately,NA,NA,1,NA
February 1 2023 - 12:00 AM,3,USA hyper equipped,2,NA,1,1,NA,NA,NA,NA,"190 kWh/m²
kilowatt hour per square meters",D,Not specified,37 kg CO₂/m²,Gas,NA,NA,NA,NA,NA,NA,"€ 1,200
1200 €","€ 25
25€",No,"€1,200 (+ €25)
1200€ + 25€ per month","2 bedrooms | 95 m²
square meters",Ask for the exact address,Penthouse for rent,3,2,NA,"95 m²
square meters",NA,"17 m²
square meters","14 m²
square meters",No,NA,NA,NA,"Rue Defacqz 40
1050 - Ixelles",http://www.oralis.be,5231989,ORALIS Real Estate,NA,Just renovated,NA,NA,NA,NA,NA,NA,NA,NA,NA,To be defined,NA,NA,NA,NA
February 1 2023 - 12:00 AM,NA,USA hyper equipped,2,NA,1,2,Yes,NA,NA,NA,"466 kWh/m²
kilowatt hour per square meters",G,Not specified,91 kg CO₂/m²,NA,NA,NA,NA,NA,NA,NA,"€ 2,000
2000 €",NA,No,"€2,000/month
2000€ per month","2 bedrooms | 115 m²
square meters",1000 — Bruxelles,House for rent,NA,2,NA,"115 m²
square meters","20 m²
square meters","27 m²
square meters","13 m²
square meters",No,NA,Yes,NA,"Rue des Sablons 19
1000 - Bruxelles",NA,5231981,Engel & Völkers Sablon,1800,Good,NA,NA,No,No,NA,NA,Yes,No,NA,Immediately,NA,NA,1,Urban
NA,3,USA hyper equipped,2,Yes,NA,3,Yes,NA,NA,Yes,Not specified,Not specified,Not specified,Not specified,Gas,NA,NA,NA,NA,Yes,NA,"€ 2,900
2900 €","€ 300
300€",No,"€2,900 (+ €300)
2900€ + 300€ per month","2 bedrooms | 180 m²
square meters",1050 — Bruxelles-Quartier Louise,Apartment for rent,NA,2,NA,"180 m²
square meters","31 m²
square meters","20 m²
square meters","18 m²
square meters",Yes,"15 m²
square meters",Yes,Yes,"Rue Alphonse Renard 1
1050 - Ixelles",http://www.emilegarcin.fr,NA,EMILE GARCIN BELGIQUE SPRL,1960,As new,South West,Yes,Yes,NA,Yes,NA,Yes,NA,NA,Immediately,NA,NA,2,Living area (residential, urban or rural)
NA,NA,Installed,1,NA,NA,1,NA,NA,NA,NA,Not specified,Not specified,Not specified,Not specified,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,100
1100 €","€ 75
75€",No,"€1,100 (+ €75)
1100€ + 75€ per month","1 bedroom | 70 m²
square meters",Ask for the exact address,Apartment for rent,3,NA,1,"70 m²
square meters",NA,NA,NA,No,NA,NA,NA,"Rue Washington 128b
1050 - Bruxelles",http://www.tribel-immo.be,10031 - 9970,TRIBEL (Transactions Immobilières de Belgique),NA,Just renovated,NA,NA,NA,NA,NA,NA,NA,NA,NA,Immediately,NA,Yes,1,NA
NA,NA,Installed,1,No,NA,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,NA,No,No,No,No,No,All kind,"€ 850
850 €","€ 10
10€",No,"€850 (+ €10)
850€ + 10€ per month",1 bedroom,1050 — Ixelles,Apartment for rent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
March 1 2023 - 12:00 AM,10,NA,2,Yes,1,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,NA,No,No,No,No,Yes,All kind,"€ 1,050
1050 €",NA,No,"€1,050/month
1050€ per month",2 bedrooms,Ask for the exact address,Apartment for rent,12,2,1,NA,NA,"14 m²
square meters","14 m²
square meters",NA,"12 m²
square meters",No,No,NA,NA,NA,NA,NA,As new,NA,Yes,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA
NA,3,Installed,1,No,1,1,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,Yes,Yes,All kind,"€ 760
760 €","€ 150
150€",No,"€760 (+ €150)
760€ + 150€ per month","1 bedroom | 68 m²
square meters",1090 — Jette,Apartment for rent,NA,4,NA,"68 m²
square meters","30 m²
square meters","16 m²
square meters",NA,NA,"6 m²
square meters",Yes,No,NA,NA,NA,NA,NA,Just renovated,South,No,Yes,No,No,No,No,No,No,Immediately,NA,NA,NA,Urban
March 1 2023 - 12:00 AM,1,USA hyper equipped,1,NA,1,1,NA,NA,NA,NA,"156 kWh/m²
kilowatt hour per square meters",D,Not specified,33 kg CO₂/m²,Gas,NA,NA,NA,NA,NA,NA,"€ 950
950 €","€ 150
150€",No,"€950 (+ €150)
950€ + 150€ per month","1 bedroom | 55 m²
square meters",1040 — Etterbeek,Apartment for rent,3,2,NA,"55 m²
square meters",NA,"12 m²
square meters",NA,Yes,NA,NA,NA,"Avenue des Cerisiers, 95
1200 - Woluwe-St-Lambert",http://www.immoabita.be,5223100,ABITA IMMO,1950,As new,NA,NA,No,No,NA,NA,Yes,No,NA,Depending on the tenant,6 m,NA,1,Isolated
NA,NA,Installed,1,No,NA,2,NA,NA,NA,NA,"248 kWh/m²
kilowatt hour per square meters",E,20140327-0000220443-01-6,Not specified,NA,No,NA,NA,NA,NA,NA,"€ 950
950 €",NA,No,"€950/month
950€ per month","1 bedroom | 72 m²
square meters",1050 — Ixelles,Duplex for rent,NA,NA,NA,"72 m²
square meters","5 m²
square meters","11 m²
square meters",NA,No,NA,NA,NA,"Rue des Combattants, 136
1310 - La Hulpe",http://www.dumontgestion.be,NA,Immo Dumont,NA,As new,NA,NA,NA,NA,NA,NA,NA,NA,NA,To be defined,NA,Yes,NA,NA
NA,3,USA hyper equipped,2,NA,1,3,NA,NA,NA,NA,"259 kWh/m²
kilowatt hour per square meters",E,Not specified,55 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,380
1380 €","€ 15
15€",No,"€1,380 (+ €15)
1380€ + 15€ per month","2 bedrooms | 105 m²
square meters",Ask for the exact address,Apartment for rent,3,NA,NA,"105 m²
square meters",NA,"14 m²
square meters","10 m²
square meters",No,NA,NA,NA,"Avenue de Woluwe-Saint-Lambert 35
1200 - Woluwe-Saint-Lambert",http://www.espaceimmobrussels.be,45510 - 145,Espace Immo Brussels EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Immediately,NA,NA,2,NA
February 15 2023 - 12:00 AM,NA,Hyper equipped,1,NA,1,1,NA,NA,NA,Yes,"200 kWh/m²
kilowatt hour per square meters",D,Not specified,50 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 850
850 €","€ 250
250€",No,"€850 (+ €250)
850€ + 250€ per month","1 bedroom | 50 m²
square meters",1060 — Saint-Gilles,Studio for rent,4,NA,NA,"50 m²
square meters","15 m²
square meters","15 m²
square meters",NA,Yes,NA,Yes,NA,"Avenue des Cerisiers, 95
1200 - Woluwe-St-Lambert",http://www.immoabita.be,5231821,ABITA IMMO,1960,As new,NA,NA,No,No,NA,NA,NA,No,NA,Depending on the tenant,NA,NA,1,Isolated
March 1 2023 - 12:00 AM,1,Hyper equipped,1,NA,1,1,NA,NA,NA,NA,Not specified,Not specified,G,Not specified,Gas,NA,NA,NA,NA,NA,NA,"€ 850
850 €","€ 250
250€",No,"€850 (+ €250)
850€ + 250€ per month","1 bedroom | 50 m²
square meters",1050 — Ixelles,Apartment for rent,6,4,NA,"50 m²
square meters",NA,NA,NA,Yes,"8 m²
square meters",NA,NA,"Waterloosesteenweg 631
1050 - Brussel",http://www.dewaele.com,D1050-22242,Dewaele Brussels South,NA,Good,NA,NA,Yes,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,Urban
February 1 2023 - 12:00 AM,4,Hyper equipped,2,NA,1,1,NA,NA,NA,NA,"556 kWh/m²
kilowatt hour per square meters",G,Not specified,Not specified,Gas,NA,NA,NA,NA,NA,NA,"€ 980
980 €","€ 100
100€",No,"€980 (+ €100)
980€ + 100€ per month","2 bedrooms | 70 m²
square meters",1000 — Brussels City,Apartment for rent,4,4,NA,"70 m²
square meters",NA,NA,NA,No,NA,NA,NA,"Waterloosesteenweg 631
1050 - Brussel",http://www.dewaele.com,D1050-B-22289,Dewaele Brussels South,1960,Good,NA,NA,Yes,No,NA,NA,NA,No,NA,NA,NA,Yes,NA,Urban
